PIVlab, ASCII chart output - 08-Oct-2024
FRAME: 225, filenames: A: Basler_acA640-750um__24761715__20241004_145722425_0448.bmp & B: Basler_acA640-750um__24761715__20241004_145722425_0449.bmp, conversion factor xy (px -> m): 0.00011578, conversion factor uv (px/frame -> m/s): 0.034769
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.005673262756,0.05013312027,-0.007264336105,-0.002892642049,1
0.005673262756,0.051985614,NaN,NaN,0
0.005673262756,0.05383810773,NaN,NaN,0
0.007525756955,0.001968274824,NaN,NaN,0
0.007525756955,0.003820769023,-0.1857742518,-0.003630597843,1
0.007525756955,0.005673262756,-0.1856188327,-0.00649489183,1
0.007525756955,0.007525756955,-0.1879235506,-0.005256235134,1
0.007525756955,0.009378250688,-0.1900347173,-0.001734816236,1
0.007525756955,0.01123074535,-0.1884931475,-0.0008579312125,1
0.007525756955,0.01308323909,-0.1809573025,-0.003388467478,1
0.007525756955,0.01493573282,-0.1789011806,-0.00671706954,1
0.007525756955,0.01678822748,-0.1812636256,-0.009501782246,1
0.007525756955,0.01864072122,-0.1822995991,-0.01164826751,1
